,gene_name,AUROC,avg_diff,cluster_revised
418,Pitx2,0.257184165857927,0.771663,12
419,Dgkb,0.2554579426121921,1.1125302,12
420,Foxb1,0.2525815083560429,1.154106,12
421,Kcna2,0.25077950156186646,0.7646457,12
422,Cadm2,0.248002139501287,0.81476027,12
423,Hpca,0.2445872984482125,0.7718183,12
424,Tenm2,0.24035897731533057,0.71316135,12
425,Tmem163,0.2365505199476807,0.72106224,12
426,Vsnl1,0.23204693464136633,0.8112774,12
427,Bdnf,0.2313148693812321,1.0015999,12
428,Mir124-2hg,0.2285286309100669,0.73945117,12
429,Zfhx3,0.21793029211599121,0.92428017,12
430,Nefl,0.21625198239836418,0.896354,12
431,Adcyap1,0.21531709592860998,1.217757,12
432,Arpp21,0.2150503263846628,0.9732011,12
433,Scn1b,0.20925937520759347,0.82418084,12
434,Cacna2d1,0.20521478622930842,0.87629265,12
435,Snap25,0.19839083083966647,0.78077245,12
436,Sncb,0.1923054309888665,0.7791667,12
437,Thy1,0.19012469734303258,1.0710968,12
438,Nrn1,0.1843298329096836,1.1449426,12
439,Slc17a6,0.14124736284704856,1.402131,12
440,Gad2,0.9302851476371424,1.6390641,13
441,Gad1,0.9021623466645959,1.2688746,13
442,Slc32a1,0.8658240195674013,1.1550081,13
443,Nrxn3,0.8499588301618808,0.9414717,13
444,Dlx1,0.7875864445274852,0.71811247,13
445,Cplx1,0.7483849937962149,0.8123418,13
446,Tcf7l2,0.6830982042185738,0.77165246,13
447,Gpr101,0.6796978505947383,0.87989616,13
448,Vgf,0.6683746083203516,0.8040469,13
449,Cited1,0.6331395358242298,0.7254743,13
450,Penk,0.6309061732109723,0.7644526,13
451,Gal,0.5724755771461295,0.9370365,13
452,Sst,0.5078470196757855,1.0266969,13
453,Npy,0.421429669136857,1.0781883,13
454,Calb1,0.3912998183350562,0.8897748,13
455,Bdnf,0.3121751101232507,0.72033805,13
456,Cpne9,0.302701517864798,0.805029,13
457,Pcp4,0.2797766313851669,0.9240458,13
458,Fam19a1,0.2729846595844839,0.8358463,13
459,Ntng1,0.27179194753555247,0.8731436,13
460,Pitx2,0.26859218565736664,0.72760135,13
461,Cck,0.26744703326425856,1.5872378,13
462,Cartpt,0.2613988685978475,1.6269283,13
463,Rprm,0.26113583458298756,1.7385092,13
464,Foxb1,0.25748409420694274,1.1583172,13
465,Dgkb,0.2418846888644081,1.1827195,13
466,Adcyap1,0.22881678370547956,1.1767501,13
467,Arpp21,0.2251948085562086,1.0097368,13
468,Rmst,0.21555588987513163,0.97719616,13
469,Nrn1,0.17959496644132447,1.2129678,13
470,Slc17a6,0.13491719928628162,1.5242661,13
471,Nrxn3,0.9682796596333094,1.6537408,14
472,Gad1,0.9073634989651997,1.2876396,14
473,Sox14,0.8958585876551859,1.1138636,14
474,Isl1,0.8858078236178873,1.0915895,14
475,Thrb,0.8775706961390874,1.2087393,14
476,Ngb,0.8489310409934082,1.1424176,14
477,Pgrmc1,0.8485256036638035,0.80723834,14
478,St8sia4,0.8401337578339704,1.0012126,14
479,Unc13c,0.8306266173027336,1.0659294,14
480,Slc32a1,0.8279431603315374,0.83088994,14
481,Gad2,0.81539820421819,0.83483493,14
482,Lef1,0.8127026616573036,0.77115315,14
483,Rxrg,0.8098627761101185,1.0704069,14
484,Opcml,0.8018298494910827,0.74741054,14
485,Gfra2,0.8001946464030092,0.7904482,14
486,Chodl,0.7822698926525999,0.96141726,14
487,Fabp5,0.7701928540872554,0.72916055,14
488,Tmem176b,0.7639581720021124,0.7323361,14
489,Foxp2,0.7618230131518581,0.7671574,14
490,C1ql3,0.756342198227386,0.74275756,14
491,Dlk1,0.7543247028541147,0.9803375,14
492,Itm2a,0.7202368410731275,0.723477,14
493,Hcrtr2,0.6943216882975919,0.7069868,14
494,Trh,0.685067433029871,1.1486354,14
495,Tac1,0.6840253359565904,1.1907456,14
496,Fos,0.6302692030898976,0.774424,14
497,Sst,0.49570095052022767,0.82476574,14
498,Tac2,0.46002805224988075,1.1590024,14
499,Nts,0.41532379803109787,0.9176137,14
500,Npy,0.39812326754211935,1.1247903,14
501,Pvalb,0.39100018059975533,0.713478,14
502,Cpne9,0.296193290080604,0.78497785,14
503,Slc24a2,0.29434419485801483,0.74763477,14
504,Snca,0.27447639752742514,0.71133757,14
505,Nxph4,0.27112070813346506,0.7853004,14
506,Reps2,0.2629427544381478,0.7180297,14
507,Arpp21,0.25934991385026823,0.84988475,14
508,Pitx2,0.2560896550088612,0.7870478,14
509,Lhx1os,0.2555784117619695,0.9013033,14
510,Rprm,0.2549434622432496,1.7536364,14
511,Kcna2,0.2533662927886883,0.76702857,14
512,Foxb1,0.25071772440659756,1.1722142,14
513,Grm5,0.2506181893141496,0.70522094,14
514,Scg2,0.2502861776426624,0.7604166,14
515,Kcnk9,0.24253623624637094,0.7378648,14
516,Cck,0.23881022614190583,1.798332,14
517,Bdnf,0.23844708837621667,0.9850338,14
518,Cadm2,0.23759300203311545,0.8671653,14
519,Calb1,0.23040127806251126,1.6893445,14
520,Rmst,0.22864510506253954,0.868832,14
521,Pcdh19,0.22727886335256992,0.75662553,14
522,Grm1,0.22453942501780916,0.7505131,14
523,Serpini1,0.21346081578186465,1.1558425,14
524,Adcyap1,0.21290100214621832,1.2197549,14
525,Tmem163,0.212690872506606,0.81703335,14
526,Syt1,0.20728952603509654,0.83390915,14
527,Scn1b,0.20656963534355455,0.8526339,14
528,Snap25,0.20291317438730622,0.76729584,14
529,Ralyl,0.20178784636615962,0.80562544,14
530,Sncb,0.20050164318413788,0.7671449,14
531,Nrn1,0.17829015357364045,1.1965843,14
532,Cacna2d1,0.17826906079918128,1.0473572,14
533,Higd1a,0.16726649956628695,0.7925833,14
534,Vstm2l,0.1472360028348689,1.0398006,14
535,Thy1,0.12235131760291222,1.3967006,14
536,Slc17a6,0.10894771454658059,1.7294999,14
537,Six3,0.950163084101565,1.7299604,15
538,Slc32a1,0.9163480486534238,1.2128108,15
539,Ecel1,0.9138551647073925,1.1937002,15
540,Gad2,0.9137585222768353,1.3227683,15
541,Dlk1,0.89263629980294,1.3014978,15
542,Otp,0.8799612297749289,1.2673182,15
543,Parm1,0.8758237257167019,1.1714933,15
544,Nrxn3,0.8459493231254767,0.7924061,15
545,Arhgap36,0.8393899069061587,1.2387676,15
546,Isl1,0.8393144050072859,0.8447237,15
547,Pcdh7,0.8362524254985012,0.775869,15
548,Col25a1,0.8180326847720222,1.2946463,15
549,Prox1,0.8027080643578185,0.7967902,15
550,Pde1a,0.7888528996504262,0.72805196,15
551,Unc5d,0.7883187237159015,0.73875016,15
552,Gabre,0.7866386177112353,0.84901583,15
553,Cadps2,0.7797919167667067,0.84707814,15
554,Gabrq,0.7778258473200602,0.72238004,15
555,Peg10,0.7748776869238261,0.77725595,15
556,Tac2,0.45935279772286275,1.1632296,15
557,Nts,0.421470663737193,0.86178994,15
558,Npy,0.4200206497693417,1.0592524,15
559,Tac1,0.39552726751077794,1.5832099,15
560,Calb2,0.3930281546580896,0.79349923,15
561,Dgkb,0.3834918873209662,0.72013867,15
562,Pvalb,0.3822938609406027,0.7445002,15
563,Cox6a2,0.31607359925102113,0.85498714,15
564,Serpini1,0.3070605600730858,0.85634995,15
565,Rprm,0.2989658127401904,1.6185652,15
